fee_id,place_id,place_name,Foreign_Adult (LKR),Foreign_Child (LKR),Local_Adult (LKR),Local_Child (LKR),Student (LKR),Free_Entry
WE-COL001-FEE,WE-COL001,Colombo National Museum,2000,1000,100,50,50,0
CE-KAN002-FEE,CE-KAN002,Temple of the Tooth,3000,1500,200,100,100,0
SO-GAL003-FEE,SO-GAL003,Galle Fort,2500,1250,150,80,80,0
NO-JAF004-FEE,NO-JAF004,Nallur Kandaswamy Kovil,1000,500,50,30,30,1
NC-ANU005-FEE,NC-ANU005,Sigiriya Rock Fortress,5000,2500,500,200,200,0
CE-NUW006-FEE,CE-NUW006,Gregory Lake,1500,800,100,50,50,1
EA-TRI007-FEE,EA-TRI007,Koneswaram Temple,1200,600,100,50,50,0
SO-MAT008-FEE,SO-MAT008,Dondra Head Lighthouse,800,400,50,30,30,1
UV-BAD009-FEE,UV-BAD009,Diyaluma Falls,1000,500,100,50,50,1
NW-KUR010-FEE,NW-KUR010,Ritigala Forest Monastery,2000,1000,150,80,80,0
CE-KAN011-FEE,CE-KAN011,Udawatta Kele Sanctuary,1200,600,100,50,50,0
SO-GAL012-FEE,SO-GAL012,Mihidu Beach,500,250,0,0,0,1
NO-JAF013-FEE,NO-JAF013,Jaffna Library,1500,800,100,50,50,0
NC-ANU014-FEE,NC-ANU014,Anuradhapura Sacred City,2500,1200,300,150,150,0
CE-NUW015-FEE,CE-NUW015,Horton Plains National Park,2000,1000,200,100,100,0
EA-TRI016-FEE,EA-TRI016,Uppuveli Beach,500,250,0,0,0,1
SO-MAT017-FEE,SO-MAT017,Polhena Reef,800,400,50,30,30,1
UV-BAD018-FEE,UV-BAD018,Mahiyangana Rajamaha Viharaya,1000,500,50,30,30,0
NW-KUR019-FEE,NW-KUR019,Ethugalpura Forest Reserve,1500,800,100,50,50,0
WE-COL020-FEE,WE-COL020,Dehiwala Zoo,2000,1000,150,80,80,0
CE-KAN021-FEE,CE-KAN021,Bahirawakanda Temple,1000,500,50,30,30,0
SO-GAL022-FEE,SO-GAL022,Unawatuna Beach,500,250,0,0,0,1
NO-JAF023-FEE,NO-JAF023,Keerimalai Hot Springs,800,400,50,30,30,0
NC-ANU024-FEE,NC-ANU024,Minneriya National Park,2500,1200,300,150,150,0
CE-NUW025-FEE,CE-NUW025,Victoria Park,500,250,0,0,0,1
EA-TRI026-FEE,EA-TRI026,Fort Frederick,1000,500,50,30,30,0
SO-MAT027-FEE,SO-MAT027,Mirissa Beach,500,250,0,0,0,1
UV-BAD028-FEE,UV-BAD028,Gal Oya National Park,2000,1000,200,100,100,0
NW-KUR029-FEE,NW-KUR029,Herbal Garden,1000,500,50,30,30,0
WE-COL030-FEE,WE-COL030,Viharamahadevi Park,0,0,0,0,0,1
CE-KAN031-FEE,CE-KAN031,Lake Gregory,1500,800,100,50,50,1
SO-HAM032-FEE,SO-HAM032,Mirissa Whale Watching,6000,3000,500,250,250,0
NC-MON033-FEE,NC-MON033,Isurumuniya Temple,1000,500,50,30,30,0
WE-GAM034-FEE,WE-GAM034,Bellanwila Rajamaha Viharaya,800,400,50,30,30,0
EA-BAT035-FEE,EA-BAT035,Kantale Tank,500,250,0,0,0,1
SO-GAM036-FEE,SO-GAM036,Rummana Beach,500,250,0,0,0,1
UV-MAH037-FEE,UV-MAH037,Rawana Falls,1000,500,100,50,50,1
NW-PUT038-FEE,NW-PUT038,Pidurangala Rock,1500,750,150,80,80,0
WE-KAL039-FEE,WE-KAL039,Independence Memorial Hall,0,0,0,0,1,1
CE-KAN040-FEE,CE-KAN040,Peradeniya Botanical Gardens,1500,800,100,50,50,0
